no,province_id,province,district,hcode,year,hospital name,target_population,screened_total,screened_normal,screened_risk,care_total,assess_9q_normal,assess_9q_risk,assess_8q_normal,assess_8q_risk,care_counseling,care_referral,followup_normal,followup_risk_q12,followup_risk_q3,,,,,,,,
51,31,บุรีรัมย์,นางรอง,02930,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านโคกแร่ ตำบลลำไทรโยง,1194,84,82,,2,2,,,,,,,,,,,,,,,,
52,31,บุรีรัมย์,นางรอง,02935,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลหนองโสน ตำบลหนองโสน,1105,390,362,,28,28,,,,,,,,,,,,,,,,
53,31,บุรีรัมย์,นาโพธิ์,03033,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านดอนกลาง ตำบลบ้านคู,1606,1256,1227,,,,,,,,,,,,,,,,,,,
54,31,บุรีรัมย์,นาโพธิ์,03034,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านนาเหล็ก ตำบลบ้านดู่,496,457,451,,,,,,,,,,,,,,,,,,,
55,31,บุรีรัมย์,นาโพธิ์,03032,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านนาโพธิ์ ตำบลนาโพธิ์,1554,73,70,,,,,,,,,,,,,,,,,,,
56,31,บุรีรัมย์,นาโพธิ์,15224,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านหนองบัว ตำบลดอนกอก,529,108,107,,,,,,,,,,,,,,,,,,,
57,31,บุรีรัมย์,นาโพธิ์,03036,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านหนองแวง ตำบลดอนกอก,849,763,754,,,,,,,,,,,,,,,,,,,
58,31,บุรีรัมย์,นาโพธิ์,03035,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านหัวช้าง ตำบลบ้านดู่,640,515,502,,,,,,,,,,,,,,,,,,,
59,31,บุรีรัมย์,บ้านกรวด,10216,2569,สถานบริการสาธารณสุขชุมชนบ้านสายตรี 16,184,9,9,,,,,,,,,,,,,,,,,,,
60,31,บุรีรัมย์,บ้านกรวด,02983,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านบึงเจริญ ตำบลบึงเจริญ,512,0,,,,,,,,,,,,,,,,,,,,
61,31,บุรีรัมย์,บ้านกรวด,02982,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านละหานทรายใหม่ ตำบลหินลาด,1067,30,30,,,,,,,,,,,,,,,,,,,
62,31,บุรีรัมย์,บ้านกรวด,10217,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านสายตรี 4 ใต้ ตำบลบึงเจริญ,458,2,2,,,,,,,,,,,,,,,,,,,
63,31,บุรีรัมย์,บ้านกรวด,02980,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านสายตะกู ตำบลสายตะกู,807,1,1,,,,,,,,,,,,,,,,,,,
64,31,บุรีรัมย์,บ้านกรวด,02981,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านสายโท 12 ใต้ ตำบลสายตะกู,430,6,6,,,,,,,,,,,,,,,,,,,
65,31,บุรีรัมย์,บ้านกรวด,02984,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านสายโท 5 ใต้ ตำบลจันทบเพชร,1209,13,13,,,,,,,,,,,,,,,,,,,
66,31,บุรีรัมย์,บ้านกรวด,02979,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านหนองไม้งาม ตำบลหนองไม้งาม,1457,478,452,,,,,,,,,,,,,,,,,,,
67,31,บุรีรัมย์,บ้านกรวด,02985,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านหลัก ตำบลเขาดินเหนือ,973,0,,,,,,,,,,,,,,,,,,,,
68,31,บุรีรัมย์,บ้านกรวด,02977,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านโคกระเหย ตำบลปราสาท,924,1,1,,,,,,,,,,,,,,,,,,,
69,31,บุรีรัมย์,บ้านกรวด,02978,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านโนนเจริญ ตำบลโนนเจริญ,1595,95,94,,,,,,,,,,,,,,,,,,,
70,31,บุรีรัมย์,บ้านด่าน,03080,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านดงกระทิง ตำบลโนนขวาง,586,0,,,,,,,,,,,,,,,,,,,,
71,31,บุรีรัมย์,บ้านด่าน,03078,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านมะขามป้อม ตำบลปราสาท,405,14,13,,,,,,,,,,,,,,,,,,,
72,31,บุรีรัมย์,บ้านด่าน,03076,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านสองห้อง ตำบลบ้านด่าน,,0,,,,,,,,,,,,,,,,,,,,
73,31,บุรีรัมย์,บ้านด่าน,03081,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านหนองนา ตำบลโนนขวาง,743,1,1,,,,,,,,,,,,,,,,,,,
74,31,บุรีรัมย์,บ้านด่าน,03077,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลปราสาท ตำบลปราสาท,740,20,20,,,,,,,,,,,,,,,,,,,
75,31,บุรีรัมย์,บ้านด่าน,03079,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลปลัดปุ๊ก ตำบลวังเหนือ,827,22,22,,,,,,,,,,,,,,,,,,,
76,31,บุรีรัมย์,บ้านใหม่ไชยพจน์,03067,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านทองหลาง ต.ทองหลาง,1143,9,5,,,,,,,,,,,,,,,,,,,
77,31,บุรีรัมย์,บ้านใหม่ไชยพจน์,03069,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านบาก ต.กู่สวนแตง,932,72,69,,,,,,,,,,,,,,,,,,,
78,31,บุรีรัมย์,บ้านใหม่ไชยพจน์,03070,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านหนองเยือง ตำบลหนองเยือง,1001,105,104,,,,,,,,,,,,,,,,,,,
79,31,บุรีรัมย์,บ้านใหม่ไชยพจน์,03068,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านเป้าพัฒนา ต.แดงใหญ่,1051,1,1,,,,,,,,,,,,,,,,,,,
80,31,บุรีรัมย์,บ้านใหม่ไชยพจน์,13846,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านแก ตำบลหนองแวง,795,21,21,,,,,,,,,,,,,,,,,,,
81,31,บุรีรัมย์,ประโคนชัย,02962,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านจรเข้มาก ตำบลจรเข้มาก,844,714,687,,27,26,1,0,1,1,1(ผู้ป่วยติดเตียง),,,,,,,,,,,
82,31,บุรีรัมย์,ประโคนชัย,02966,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านตลุงเก่า ตำบลโคกม้า,1322,39,35,,4,,,,,,,,,,,,,,,,,
83,31,บุรีรัมย์,ประโคนชัย,02969,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านตะโกตาพิ ตำบลตะโกตาพิ,1191,18,18,,0,0,0,0,0,0,0,,,,,,,,,,,
84,31,บุรีรัมย์,ประโคนชัย,02968,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านพิณทอง ตำบลไพศาล,796,8,8,,,,,,,,,,,,,,,,,,,
85,31,บุรีรัมย์,ประโคนชัย,02967,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านละลมพนู ตำบลไพศาล,1017,77,71,,6,6,0,6,0,6,0,,,,,,,,,,,
86,31,บุรีรัมย์,ประโคนชัย,02976,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านสี่เหลี่ยม ตำบลสี่เหลี่ยม,897,12,12,,,,,,,,,,,,,,,,,,,
87,31,บุรีรัมย์,ประโคนชัย,02972,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านหนองบอน ตำบลหนองบอน,1441,2,2,,,,,,,,,,,,,,,,,,,
88,31,บุรีรัมย์,ประโคนชัย,02970,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านเขาคอก ตำบลเขาคอก,588,18,18,,,,,,,,,,,,,,,,,,,
89,31,บุรีรัมย์,ประโคนชัย,02959,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านแสลงโทน ตำบลแสลงโทน,816,0,,,,,,,,,,,,,,,,,,,,
90,31,บุรีรัมย์,ประโคนชัย,02961,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านโคกประเดียก ตำบลละเวี้ย,1294,7,7,,,,,,,,,,,,,,,,,,,
