no,province_id,province,district,hcode,year,hospital name,target_population,screened_total,screened_normal,screened_risk,care_total,assess_9q_normal,assess_9q_risk,assess_8q_normal,assess_8q_risk,care_counseling,care_referral,followup_normal,followup_risk_q12,followup_risk_q3,,,,,,,,
91,36,ชัยภูมิ,หนองบัวระเหว,04025,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลโคกสะอาด,552,112,100,31,12,12,0,12,0,12,0,,,,,,,,,,,
92,36,ชัยภูมิ,หนองบัวระเหว,04026,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลโสกปลาดุก,543,10,10,0,0,0,0,0,0,0,0,,,,,,,,,,,
93,36,ชัยภูมิ,หนองบัวแดง,03983,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลถ้ำวัวแดง,129,8,7,1,1,1,0,1,0,1,0,,,,,,,,,,,
94,36,ชัยภูมิ,หนองบัวแดง,03982,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านกุดชุมแสง,1979,1,1,32,0,0,0,0,0,0,0,,,,,,,,,,,
95,36,ชัยภูมิ,หนองบัวแดง,03988,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านนาเจริญ,739,4,4,0,0,0,0,0,0,0,0,,,,,,,,,,,
96,36,ชัยภูมิ,หนองบัวแดง,03984,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านหัวนาคำ,607,2,2,2,0,0,0,0,0,0,0,,,,,,,,,,,
97,36,ชัยภูมิ,หนองบัวแดง,03990,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านห้วยคนทา,853,2,2,0,0,0,0,0,0,0,0,,,,,,,,,,,
98,36,ชัยภูมิ,หนองบัวแดง,03994,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านห้วยหัน,637,557,550,7,5,5,0,0,0,0,0,,,,,,,,,,,
99,36,ชัยภูมิ,หนองบัวแดง,03989,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านเหมือดแอ่,770,3,3,10,0,0,0,0,0,0,0,,,,,,,,,,,
100,36,ชัยภูมิ,หนองบัวแดง,03992,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านโนนศรีสง่า,749,173,168,9,,,,,,,,,,,,,,,,,,
101,36,ชัยภูมิ,หนองบัวแดง,03985,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านโนนเหม่า,706,433,387,49,,,,,,,,,,,,,,,,,,
102,36,ชัยภูมิ,หนองบัวแดง,03986,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านโหล่น,392,9,9,0,0,0,0,0,0,0,0,,,,,,,,,,,
103,36,ชัยภูมิ,หนองบัวแดง,03993,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลหนองพวง,466,17,16,5,1,1,0,1,0,0,0,,,,,,,,,,,
104,36,ชัยภูมิ,หนองบัวแดง,03987,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลหนองแวง,1181,1288,1288,0,0,0,0,0,0,0,0,,,,,,,,,,,
105,36,ชัยภูมิ,หนองบัวแดง,03991,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลโนนสะอาด,657,5,4,2,1,1,0,1,0,0,0,,,,,,,,,,,
106,36,ชัยภูมิ,เกษตรสมบูรณ์,,2569,ศูนย์บริการสาธารณสุข เทศบาลตำบลบ้านเป้า,,0,,,,,,,,,,,,,,,,,,,,
107,36,ชัยภูมิ,เกษตรสมบูรณ์,03970,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลกุดเลาะ,582,4,2,3,2,2,0,2,0,2,0,,,,,,,,,,,
108,36,ชัยภูมิ,เกษตรสมบูรณ์,03971,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลขามป้อม,818,2,2,32,0,0,0,0,0,0,0,,,,,,,,,,,
109,36,ชัยภูมิ,เกษตรสมบูรณ์,03978,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านบัว,1295,386,376,14,,,,,,,,,,,,,,,,,,
110,36,ชัยภูมิ,เกษตรสมบูรณ์,03977,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านสารจอดเก่า,1083,7,7,1,0,0,0,0,0,0,0,,,,,,,,,,,
111,36,ชัยภูมิ,เกษตรสมบูรณ์,03976,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านหนองโพนงาม,814,1,1,0,0,0,0,0,0,0,0,,,,,,,,,,,
112,36,ชัยภูมิ,เกษตรสมบูรณ์,03966,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านหัน,2635,545,516,59,,,,,,,,,,,,,,,,,,
113,36,ชัยภูมิ,เกษตรสมบูรณ์,03967,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านเดื่อ,1736,136,132,29,,,,,,,,,,,,,,,,,,
