no,province_id,province,district,hcode,year,hospital name,target_population,screened_total,screened_normal,screened_risk,care_total,assess_9q_normal,assess_9q_risk,assess_8q_normal,assess_8q_risk,care_counseling,care_referral,followup_normal,followup_risk_q12,followup_risk_q3
117,30,นครราชสีมา,ประทาย,02835,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลหัวหนอง,1246,916,888,28,,,,,,,,,,
118,30,นครราชสีมา,ประทาย,02703,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลเย้ยตะแบง,880,603,596,7,,,,,,,,,,
119,30,นครราชสีมา,ประทาย,02704,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลโคกกลาง,1393,222,212,10,,,,,,,,,,
120,30,นครราชสีมา,ประทาย,02695,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลโคกสี,1333,173,164,44,44,44,0,44,0,44,0,,,
121,30,นครราชสีมา,ประทาย,02694,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลโนนไผ่ล้อม,675,4,4,0,,,,,,,,,,
122,30,นครราชสีมา,ปักธงชัย,23927,2569,ศูนย์บริการสาธารณสุข เทศบาลตำบลเมืองปัก,1,0,,,,,,,,,,,,
123,30,นครราชสีมา,ปักธงชัย,,2569,ศูนย์พัฒนาคุณภาพชีวิตและส่งเสริมอาชีพผู้สูงอายุเทศบาลตำบลลำนางแก้ว,,0,,,,,,,,,,,,
124,30,นครราชสีมา,ปักธงชัย,99893,2569,ศูนย์สุขภาพชุมชนปักธงชัย,,0,,,,,,,,,,,,
125,30,นครราชสีมา,ปักธงชัย,02709,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลขุนละคร,521,294,282,12,,,,,,,,,,
126,30,นครราชสีมา,ปักธงชัย,02716,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลงิ้ว,1455,1087,1064,23,,,,,,,,,,
127,30,นครราชสีมา,ปักธงชัย,02710,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลตะขบ,1485,412,393,19,,,,,,,,,,
128,30,นครราชสีมา,ปักธงชัย,02706,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลตะคุ,1685,615,583,32,,,,,,,,,,
129,30,นครราชสีมา,ปักธงชัย,02724,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลท่าเยี่ยม,1004,70,64,6,,,,,,,,,,
130,30,นครราชสีมา,ปักธงชัย,02713,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลนกออก,1190,108,107,1,,,,,,,,,,
131,30,นครราชสีมา,ปักธงชัย,02723,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลนางเหริญ,547,458,449,9,,,,,,,,,,
132,30,นครราชสีมา,ปักธงชัย,02711,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลน้ำซับ,886,87,86,1,1,1,0,1,0,1,0,,,
133,30,นครราชสีมา,ปักธงชัย,02708,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบุสมอ,961,202,194,8,,,,,,,,,,
134,30,นครราชสีมา,ปักธงชัย,13831,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านดู่,1390,91,90,1,,,,,,,,,,
135,30,นครราชสีมา,ปักธงชัย,02714,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านพร้าว,461,8,8,0,,,,,,,,,,
136,30,นครราชสีมา,ปักธงชัย,02715,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านหนองปลิง,1450,217,208,9,,,,,,,,,,
137,30,นครราชสีมา,ปักธงชัย,02717,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านโคก,1395,218,209,9,,,,,,,,,,
138,30,นครราชสีมา,ปักธงชัย,02721,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลปลายดาบ,1021,896,883,13,,,,,,,,,,
139,30,นครราชสีมา,ปักธงชัย,02712,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลพระเพลิง,856,363,352,11,,,,,,,,,,
140,30,นครราชสีมา,ปักธงชัย,02719,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลลำนางแก้ว,852,338,305,33,,,,,,,,,,
141,30,นครราชสีมา,ปักธงชัย,02707,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลสุขัง,902,57,57,0,,,,,,,,,,
142,30,นครราชสีมา,ปักธงชัย,02720,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลหนองนกเขียน,626,182,174,8,,,,,,,,,,
143,30,นครราชสีมา,ปักธงชัย,02722,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลหลุมข้าว,330,163,163,0,,,,,,,,,,
144,30,นครราชสีมา,ปักธงชัย,02718,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลเชียงสา,884,239,231,8,,,,,,,,,,
145,30,นครราชสีมา,ปากช่อง,24641,2569,ศูนย์สุขภาพชุมชนเทศบาลเมืองปากช่อง 1,1174,317,300,17,,,,,,,,,,
146,30,นครราชสีมา,ปากช่อง,24642,2569,ศูนย์สุขภาพชุมชนเทศบาลเมืองปากช่อง 2,1815,58,56,2,,,,,,,,,,
147,30,นครราชสีมา,ปากช่อง,23012,2569,ศูนย์สุขภาพชุมชนเทศบาลเมืองปากช่อง3(หนองสาหร่าย),1719,178,166,12,,,,,,,,,,
148,30,นครราชสีมา,ปากช่อง,02811,2569,สถานีอนามัยเฉลิมพระเกียรติ 60 พรรษา นวมินทราชินี,1935,249,236,13,,,,,,,,,,
149,30,นครราชสีมา,ปากช่อง,02804,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลกลางดง,1972,77,76,1,,,,,,,,,,
150,30,นครราชสีมา,ปากช่อง,02813,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลขนงพระเหนือ,514,378,359,19,19,19,0,19,0,19,0,,,
151,30,นครราชสีมา,ปากช่อง,02814,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลขนงพระใต้,1494,190,181,9,9,9,0,9,0,9,0,,,
152,30,นครราชสีมา,ปากช่อง,02809,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลคลองดินดำ,840,11,11,0,11,11,0,11,0,11,0,,,
153,30,นครราชสีมา,ปากช่อง,02816,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลคลองม่วง,790,539,487,52,52,,,,,,,,,
154,30,นครราชสีมา,ปากช่อง,02820,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลซับน้อย,844,22,20,2,,,,,,,,,,
155,30,นครราชสีมา,ปากช่อง,02817,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลซับพลู,688,28,27,18,18,18,0,18,0,18,0,,,
156,30,นครราชสีมา,ปากช่อง,02810,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลท่าช้าง,1328,26,25,1,,,,,,,,,,
157,30,นครราชสีมา,ปากช่อง,02812,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลบ่อทอง,2188,33,32,1,1,1,0,1,0,1,0,,,
158,30,นครราชสีมา,ปากช่อง,02807,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลวังกะทะ,896,81,76,5,,,,,,,,,,
159,30,นครราชสีมา,ปากช่อง,02819,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลวังไทร,942,3,3,0,0,0,0,0,0,0,0,,,
160,30,นครราชสีมา,ปากช่อง,02805,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลหนองกระทุ่ม,1597,314,295,19,19,19,0,19,0,19,0,,,
161,30,นครราชสีมา,ปากช่อง,02808,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลหนองขวาง,628,548,533,15,,,,,,,,,,
162,30,นครราชสีมา,ปากช่อง,02815,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลหนองคุ้ม,772,3,3,0,0,0,0,0,0,0,0,,,
163,30,นครราชสีมา,ปากช่อง,02818,2569,โรงพยาบาลส่งเสริมสุขภาพตำบลหนองน้ำแดง,1352,837,780,57,,,,,,,,,,
